config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
half_and_half,1,1000000000,16384,1,1,1,1,run_private2_histogram,38022871337,12783717399,0.336211,0.196731,2.514953,0.000912,21893719,24009112335,1003779006,17840
half_and_half,1,1000000000,16384,2,1,1,1,run_private2_histogram,38027948006,18818821724,0.494868,0.100398,1.889368,0.002560,61474015,24010974652,1004664984,27321
half_and_half,1,1000000000,16384,3,1,1,1,run_private2_histogram,29186786556,14362845251,0.492101,0.108238,1.554603,0.002670,49200493,18428993526,770892183,21799
half_and_half,1,1000000000,16384,4,1,1,1,run_private2_histogram,23425322427,12933258937,0.552106,0.099728,1.289805,0.002475,36605514,14790192868,619289377,25106
