config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
all,1,1000000000,16384,1,1,1,1,run_private2_histogram,38026812622,12579371543,0.330803,0.193362,2.432371,0.000306,7340709,24009947906,1004627048,13488
all,1,1000000000,16384,2,1,1,1,run_private2_histogram,37985918552,19404675363,0.510839,0.098678,1.914812,0.002291,54950059,23981149391,1005286664,31444
all,1,1000000000,16384,3,1,1,1,run_private2_histogram,37524622953,20372333856,0.542906,0.073471,1.496783,0.003652,86506786,23690447144,992797965,31117
all,1,1000000000,16384,4,1,1,1,run_private2_histogram,37879260388,21602634031,0.570302,0.058046,1.253936,0.004746,113496760,23915957472,1001303808,33443
