config,reps,size,size2,threads,arg1,arg2,arg3,function,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
pcores_only,1,1000000000,16384,1,1,1,1,run_private2_histogram,38029256557,12812818455,0.336920,0.193343,2.477269,0.001013,24333038,24010981297,1005033960,20793
pcores_only,1,1000000000,16384,2,1,1,1,run_private2_histogram,38037295705,18807462824,0.494448,0.100016,1.881051,0.002853,68500256,24013988455,1006407109,28215
pcores_only,1,1000000000,16384,3,1,1,1,run_private2_histogram,38030004095,19192152082,0.504658,0.078420,1.505045,0.002555,61351758,24011513274,1005074341,29129
pcores_only,1,1000000000,16384,4,1,1,1,run_private2_histogram,38032502841,22313635109,0.586699,0.054768,1.222084,0.004194,100708601,24012548556,1005471473,35310
