size,threads,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
16777216,4,341390825,1477452101,4.327744,0.081455,0.120346,0.240687,35803115,148753549,49514995,12693
16777216,4,1141709201,2615442782,2.290813,0.080902,0.211595,0.328462,217331323,661662921,193273472,18202
