size,list,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
4096,1,17251,50613,2.933917,0.158062,0.000008,-nan,0,0,3440,37
4096,0,37973,11316,0.298001,0.088370,0.000001,-nan,0,0,9233,41
