size,iterations,sorted,IC,Cycles,CPI,CT,ET,L1_dcache_miss_rate,L1_dcache_misses,L1_dcache_accesses,branches,branch_misses
262144,1000,0,1506998866,1503928658,0.997963,0.202436,0.304450,-nan,0,0,262278925,34808887
262144,1000,1,1506524083,336282790,0.223218,0.193456,0.065056,-nan,0,0,262193493,3428
