IC,Cycles,CPI,CT_ns,ET_s,DL1_miss_rate,DL1_misses,DL1_accesses
278371,114575,0.411591,0.768056,0.000088,-nan,0,0
11847152770,3843004376,0.324382,0.193502,0.743630,-nan,0,0
79901887120,21123990431,0.264374,0.193853,4.094950,-nan,0,0
591324118875,158727554409,0.268427,0.193129,30.654882,-nan,0,0
