IC,Cycles,CPI,CT_ns,ET_s,DL1_miss_rate,DL1_misses,DL1_accesses
244534,99557,0.407129,0.703115,0.000070,-nan,0,0
10387173353,3246219833,0.312522,0.192848,0.626026,-nan,0,0
69985887860,19032249497,0.271944,0.193087,3.674872,-nan,0,0
517768263165,102888999465,0.198716,0.193063,19.864033,-nan,0,0
