IC,Cycles,CPI,CT_ns,ET_s,DL1_miss_rate,DL1_misses,DL1_accesses
309118,76378,0.247084,0.667732,0.000051,-nan,0,0
9675178441,11006852410,1.137638,0.193037,2.124731,-nan,0,0
77382679087,116901913544,1.510699,0.192962,22.557685,-nan,0,0
